ID,text,label
1,show credits for the godfather,0000000000000000000000000000001000000000000000
2,who was the main actor in the exorcist,0000000000000000000000000000001000000000000000
4,who played dory on finding nemo,0000000000000000000000000000001100000000000000
5,who was the female lead in resident evil,0100000000000000000000000000001000000000000000
6,who played guido in life is beautiful,0000000000000000000000000000001100000000000000
8,find the guy who plays charlie on charlie's angels,0000000000000000000000000000001100000000000000
9,cast and crew of movie the campaign,0000000000000000000000000000001000000000000000
10,cast and crew of the campaign,0000000000000000000000000000001000000000000000
11,who plays in the movie the campaign,0000000000000000000000000000001000000000000000
12,who starred in the campaign,0000000000000000000000000000001000000000000000
13,who were the crew for the campaign,0000000000000000000000000000001000000000000000
14,who was the lead man in taxi driver,0000000000000000000000000000001000000000000000
15,star of twilight,0000000000000000000000000000001000000000000000
16,who stars in vulgaria,0000000000000000000000000000001000000000000000
17,what are the names of female actors who played in lost,0100000000000000000000000000001000000000000000
18,can i see the set list and cast for life is beautiful,0000000000000000000000000000001000000000000000
19,cast and crew of life is beautiful,0000000000000000000000000000001000000000000000
20,show cast and crew for the movie life is beautiful,0000000000000000000000000000001000000000000000
22,who played in life is beautiful,0000000000000000000000000000001000000000000000
23,who played in life is beautiful,0000000000000000000000000000001000000000000000
26,i am looking for the actor that played in pretty women,0000000000000000000000000000001000000000000000
27,star of troy,0000000000000000000000000000001000000000000000
29,find the male actor from dirty harry,0100000000000000000000000000001000000000000000
30,show me the actor of the ranam,0000000000000000000000000000001000000000000000
31,rocky actor,0000000000000000000000000000001000000000000000
32,what actor played in the amazing spider man,0000000000000000000000000000001000000000000000
33,who are the actors in captain america,0000000000000000000000000000001000000000000000
34,who starred in captain america,0000000000000000000000000000001000000000000000
35,who was in the movie captain america,0000000000000000000000000000001000000000000000
36,who were the cast members in the hobbist,0000000000000000000000000000001000000000000000
37,show me the actor of the movie varsham,0000000000000000000000000000001000000000000000
38,which female actors starred in hitch,0100000000000000000000000000001000000000000000
39,can i see the cast and crew for the movie in july,0000000000000000000000000000001000000000000000
40,list cast and crew in july,0000000000000000000000000000001000000000000000
41,who stars in in july,0000000000000000000000000000001000000000000000
42,who stars in in july,0000000000000000000000000000001000000000000000
43,roll credits for top gun,0000000000000000000000000000001000000000000000
44,show me the actor of the movie sirisiri muvva,0000000000000000000000000000001000000000000000
45,rocky 2 actor,0000000000000000000000000000001000000000000000
46,who is chewbakka,0000000000000000000000000000001100000000000000
47,who stared in i love lucy,0000000000000000000000000000001000000000000000
48,apollo thirteen cast members,0000000000000000000000000000001000000000000000
49,can you tell me more about the cast and crew of the movie apollo thirteen,0000000000000000000000000000001000000000000000
50,cast and crew for apollo thirteen,0000000000000000000000000000001000000000000000
51,castmembers of apollo thirteen,0000000000000000000000000000001000000000000000
52,complete cast and crew of apollo thirteen,0000000000000000000000000000001000000000000000
53,find for information about the cast of appolo thirteen,0000000000000000000000000000001000000000000000
54,find info on the crew of apollo thirteen,0000000000000000000000000000001000000000000000
55,give me more facts about the cast and crew of the movie apollo thirteen,0000000000000000000000000000001000000000000000
56,i need to know in detail about the cast and crew of the movie apollo thirteen,0000000000000000000000000000001000000000000000
57,i want to find information about the cast of apollo thirteen,0000000000000000000000000000001000000000000000
58,show me more information about the cast and crew of the movie apollo thirteen,0000000000000000000000000000001000000000000000
59,what actors were in dirty dancing,0000000000000000000000000000001000000000000000
60,show me the actors in captain america,0000000000000000000000000000001000000000000000
61,show me gilda's credits,0000000000000000000000000000001000000000000000
62,i can't remember the lead guy in the avengers,0000000000000000000000000000001000000000000000
63,show cast list for the avergers,0000000000000000000000000000001000000000000000
64,who plays nemo in finding nemo,0000000000000000000000000000001100000000000000
66,show me the cast and crew for finding nemo,0000000000000000000000000000001000000000000000
68,who are the main voices in finding nemo,0000000000000000000000000000001000000000000000
69,who starred in finding nemo,0000000000000000000000000000001000000000000000
70,who stars in finding nemo,0000000000000000000000000000001000000000000000
71,who was the main character in men in black 3,0000000000000000000000000000001000000000000000
72,can i see the credits for dirty dancing,0000000000000000000000000000001000000000000000
73,cast of dirty dancing,0000000000000000000000000000001000000000000000
74,find cast and crew for dirty dancing,0000000000000000000000000000001000000000000000
75,search cast and crew for dirty dancing,0000000000000000000000000000001000000000000000
76,search for the cast and crew for the movie dirty dancing,0000000000000000000000000000001000000000000000
77,show me the cast and list for dirty dancing,0000000000000000000000000000001000000000000000
78,who starred in dirty dancing,0000000000000000000000000000001000000000000000
79,who starred in dirty dancing,0000000000000000000000000000001000000000000000
80,who were the stars of dirty dancing,0000000000000000000000000000001000000000000000
81,who was the male star of titanic,0100000000000000000000000000001000000000000000
82,who starred in taxi,0000000000000000000000000000001000000000000000
83,who played in the oranges,0000000000000000000000000000001000000000000000
85,who are the lead actors in life is beautiful,0000000000000000000000000000001000000000000000
87,actor from iron man,0000000000000000000000000000001000000000000000
88,shows actors in shoot to kill,0000000000000000000000000000001000000000000000
89,which actors starred in hitch,0000000000000000000000000000001000000000000000
90,who are all of the actors in hitch,0000000000000000000000000000001000000000000000
92,who starred in dark knight rising,0000000000000000000000000000001000000000000000
93,who played nick fury in the avengers,0000000000000000000000000000001100000000000000
95,what was the cast of black swan,0000000000000000000000000000001000000000000000
96,who acted in black swan,0000000000000000000000000000001000000000000000
97,who was in black swan,0000000000000000000000000000001000000000000000
98,who was the lead in black swan,0000000000000000000000000000001000000000000000
100,what was the actor who played esme in twilight,0000000000000000000000000000001100000000000000
102,who starred in the parent trap,0000000000000000000000000000001000000000000000
103,cast and crew for hitch,0000000000000000000000000000001000000000000000
104,cast and crew of hitch,0000000000000000000000000000001000000000000000
105,cast hitch,0000000000000000000000000000001000000000000000
106,hitch crew,0000000000000000000000000000001000000000000000
107,list cast hitch,0000000000000000000000000000001000000000000000
109,show the cast of hitch,0000000000000000000000000000001000000000000000
110,what actors appeared in the movie hitch,0000000000000000000000000000001000000000000000
111,what actors played in the movies hitch,0000000000000000000000000000001000000000000000
112,what was the cast of hitch,0000000000000000000000000000001000000000000000
113,who starred in hitch,0000000000000000000000000000001000000000000000
114,who starred in the movie hitch,0000000000000000000000000000001000000000000000
115,who stars in hitch,0000000000000000000000000000001000000000000000
116,who was in hitch,0000000000000000000000000000001000000000000000
117,who was in the movie hitch,0000000000000000000000000000001000000000000000
118,who was the star in hitch,0000000000000000000000000000001000000000000000
119,voice actor for homer simpson,0000000000000000000000000000001100000000000000
121,actress from gone with the wind,0000000000000000000000000000001000000000000000
122,who are the lead actors in this movie,0000000000000000000000000000001000000000000000
123,show me information on the cast and crew of pitchperfect,0000000000000000000000000000001000000000000000
124,actors in house at the end of the street,0000000000000000000000000000001000000000000000
125,can i see the cast and crew for house at the end of the street,0000000000000000000000000000001000000000000000
