ID,text,raw_text,label,raw_label
0,who plays luke on star|wars|new|hope,who plays luke on star|wars|new|hope,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
1,show credits for the godfather,show credits for the godfather,0000000000000000000000000000001000000000000000,movie.starring.actor
2,who was the main actor in the exorcist,who was the main actor in the exorcist,0000000000000000000000000000001000000000000000,movie.starring.actor
3,find the female actress from the movie she|s|the|man,find the female actress from the movie she|s|the|man,0100000000000000000000000000001000000000000000,movie.starring.actor actor.gender
4,who played dory on finding|nemo,who played dory on finding|nemo,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
5,who was the female lead in resident|evil,who was the female lead in resident|evil,0100000000000000000000000000001000000000000000,movie.starring.actor actor.gender
6,who played guido in life|is|beautiful,who played guido in life|is|beautiful,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
7,who was the co-star in shoot|to|kill,who was the co-star in shoot|to|kill,0000000000000000000000000000001000000000000000,movie.starring.actor
8,find the guy who plays charlie on charlie|s|angels,find the guy who plays charlie on charlie|s|angels,0000000000000000000000000000001100000000000000,movie.starring.actor movie.starring.character
9,cast and crew of movie the campaign,cast and crew of movie the campaign,0000000000000000000000000000001000000000000000,movie.starring.actor
10,cast and crew of the campaign,cast and crew of the campaign,0000000000000000000000000000001000000000000000,movie.starring.actor
11,who plays in the movie the campaign,who plays in the movie the campaign,0000000000000000000000000000001000000000000000,movie.starring.actor
12,who starred in the campaign,who starred in the campaign,0000000000000000000000000000001000000000000000,movie.starring.actor
13,who were the crew for the campaign,who were the crew for the campaign,0000000000000000000000000000001000000000000000,movie.starring.actor
14,who was the lead man in taxi|driver,who was the lead man in taxi|driver,0000000000000000000000000000001000000000000000,movie.starring.actor
15,star of twilight,star of twilight,0000000000000000000000000000001000000000000000,movie.starring.actor
16,who stars in vulgaria,who stars in vulgaria,0000000000000000000000000000001000000000000000,movie.starring.actor
17,what are the names of female actors who played in lost,what are the names of female actors who played in lost,0100000000000000000000000000001000000000000000,movie.starring.actor actor.gender
18,can i see the set list and cast for life|is|beautiful,can i see the set list and cast for life|is|beautiful,0000000000000000000000000000001000000000000000,movie.starring.actor
19,cast and crew of life|is|beautiful,cast and crew of life|is|beautiful,0000000000000000000000000000001000000000000000,movie.starring.actor
20,show cast and crew for the movie life|is|beautiful,show cast and crew for the movie life|is|beautiful,0000000000000000000000000000001000000000000000,movie.starring.actor
21,what's the cast for life|is|beautiful,what's the cast for life|is|beautiful,0000000000000000000000000000001000000000000000,movie.starring.actor
22,who played in life|is|beautiful,who played in life|is|beautiful,0000000000000000000000000000001000000000000000,movie.starring.actor
23,who played in life|is|beautiful,who played in life|is|beautiful,0000000000000000000000000000001000000000000000,movie.starring.actor
24,who was in life|is|beautiful,who was in life|is|beautiful,0000000000000000000000000000001000000000000000,movie.starring.actor
25,who were roberto|benigni's costars on life|is|beautiful,who were roberto|benigni's costars on life|is|beautiful,0000000000000000000000000000001000000000000000,movie.starring.actor
26,i am looking for the actor that played in pretty|women,i am looking for the actor that played in pretty|women,0000000000000000000000000000001000000000000000,movie.starring.actor
